id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25HBDE4INRLL,2025-11-24T11:11:00Z,L'Isle-Jourdain,Hesteil,32600,BUY,HOUSE,340000,100.0,4,2,"A VENDRE 32600 L'ISLE JOURDAIN - MAISON T3 DE 100 M2 AVEC JARDIN Venez découvrir cette maison pleine de charme, idéalement située au centre ville de L'isle Jourdain, elle saura séduire ceux qui reche..."
25K5XA6F34AS,2025-11-12T18:41:00Z,Auch,Rural,32000,BUY,HOUSE,845000,240.0,6,4,"Située à quelques minutes du centre-ville de Auch, cette contemporaine et écologique d'environ 240m² impressionne par son architecture. Cette propriété offre un cadre de vie unique et harmonieux, en ..."
25MSV38MRGUU,2025-10-07T08:54:00Z,Samatan,,32130,BUY,HOUSE,545000,235.0,9,6,"En plein coeur de Samatan et à proximité immédiate des commodités, cette maison en bois de Finlande d'environ 235m² a été entièrement pensée avec des matériaux de qualité et offre des volumes généreu..."
25SK79INFWKI,2025-10-02T08:47:00Z,Saint Jean Poutge,,32190,BUY,HOUSE,630000,260.0,8,4,"Située dans un cadre naturel et reposant au coeur du Gers, proche des commodités, cette propriété développe 260m² et de nombreuses dépendances sur 1,2 hectares. Un portail mène à un chemin habillé d'..."
253LPS18DG58,2025-11-05T15:42:00Z,Condom,Nord,32100,BUY,HOUSE,400000,315.0,7,5,"A proximité immédiate de toutes les commodités du centre ville de Condom, cette jolie maison style Art Déco de 315m² prend place sur un terrain d'environ 650m². Elle offre des volumes généreux, sur 3..."
25WQX7UWXBDY,2025-11-25T19:18:00Z,Aignan,,32290,BUY,HOUSE,98000,99.0,5,4,"Sur les hauteurs, découvrez cette maison à rénover offrant 4 chambres, un salon, salle d'eau/bain, WC, grenier aménageable. Terrain clos de 1 500 m² piscinable, garage et parking. Déjà raccordée eau/..."
25P2MDSETTRJ,2025-11-21T18:29:00Z,Nogaro,,32110,BUY,HOUSE,294000,128.0,4,3,"A 10 minutes de Nogaro, construite en 2007, charmante maison de plain pied de 130 m2 en parfait état composée de 3 chambres, un grand séjour lumineux avec insert, une cuisine aménagée avec cellier at..."
25Z73ZDV481V,2025-11-03T18:24:00Z,Condom,,32100,BUY,HOUSE,650000,327.0,12,4,"Dans le gers, entre Agen et Auch à 20 mn de Nérac. Construite sur les remparts de la ville, élégante demeure répartie sur 3 niveaux : au RDC un local professionnel de 103m² avec 4 bureaux et une sall..."
25UQEWN2W61S,2025-09-16T01:21:00Z,L'Isle-Jourdain,Hesteil,32600,BUY,PROJECT,270000,,4,3,"NOUVEAU – À L'Isle-Jourdain, à moins d'un kilomètre du centre-ville, profitez d'un accompagnement privilégié pour votre projet de construction au sein d'un lotissement intimiste de seulement 6 lots. ..."
25EAHX9GR9JK,2025-10-09T01:22:00Z,L'Isle-Jourdain,Hesteil,32600,BUY,PROJECT,505000,,7,5,"Les Demeures d'Occitane vous accompagnent dans la réalisation de votre projet de construction, alliant architecture contemporaine et confort thermique optimal.Ce projet est proposé sur un terrain sit..."
24CU1EDYVLAR,2024-10-11T09:38:00Z,Lectoure,,32700,BUY,HOUSE,1195000,470.0,10,6,"Situé en plein coeur du Gers, à quelques minutes de Lectoure et d'Agen, cet ancien chai a bénéficié d'une rénovation d'exception en 2021. D'une superficie de 470m², il est implanté sur un intime terr..."
25BK7CP1GHXA,2025-11-24T08:48:00Z,Masseube,,32140,BUY,HOUSE,516000,360.0,15,3,"Située entre Masseube et Castelnau-Magnoac, cette belle propriété de plus de 350 m² habitables avec son gîte, offre 6 chambres sur un terrain de 1,3 hectare. Pierres de taille, carreaux de ciment, ha..."
25JRNAVEVVH4,2025-11-17T19:39:00Z,Cadeillan,,32220,BUY,HOUSE,280000,115.0,5,4,"En situation dominante au calme dans un village joli et paisible sur une colline avec une vue imprenable, maison de plain-pied construite en 2019, DPE A/A, en parfait état et toujours sous garantie d..."
